NR,AR,AC15,AO15,AC15_rmse,AO15_rmse
23,0.339130435,0.360833333,0.256666667,0,0
35.0,0.20518973399539508,0.2145789175929289,0.19586796575528312,0.14625441540707107,0.060798701244716896
34.0,0.209802600240158,0.22657745027857534,0.1962179233879292,0.13425588272142464,0.06044874361207081
33.0,0.21055510555354448,0.2253421008865334,0.2025377127415943,0.1354912321134666,0.05412895425840572
34.0,0.20656831727592304,0.22490134890056124,0.19383721901289216,0.13593198409943874,0.06282944798710785
35.0,0.20518973399539508,0.2145789175929289,0.19586796575528312,0.14625441540707107,0.060798701244716896
34.0,0.20656831727592304,0.22490134890056124,0.19383721901289216,0.13593198409943874,0.06282944798710785
29.0,0.23859825891178407,0.2199175356448592,0.25252182910645343,0.1409157973551408,0.004144837893546582
32.0,0.21621230119227272,0.2151614810137629,0.2193292729155554,0.14567185198623708,0.037337394084444614
35.0,0.20518973399539508,0.2145789175929289,0.19586796575528312,0.14625441540707107,0.060798701244716896
