NR,AR,AC15,AO15,AC15_rmse,AO15_rmse
36,0.227777778,0.354444444,0.126666667,0,0
44.0,0.20510433841291165,0.17979671990071538,0.23897532633176963,0.17464772409928464,0.11230865933176962
43.0,0.2092253532326871,0.17992028693296522,0.24590793634542688,0.1745241570670348,0.11924126934542686
43.0,0.2092253532326871,0.17992028693296522,0.24590793634542688,0.1745241570670348,0.11924126934542686
43.0,0.2092253532326871,0.17992028693296522,0.24590793634542688,0.1745241570670348,0.11924126934542686
52.0,0.16332548644932857,0.13726245108536428,0.20649692072928436,0.21718199291463575,0.07983025372928435
43.0,0.2092253532326871,0.17992028693296522,0.24590793634542688,0.1745241570670348,0.11924126934542686
43.0,0.21287393335368301,0.17760518139242365,0.26268681504990576,0.17683926260757638,0.13602014804990575
48.0,0.17986243320357337,0.1475054529054236,0.2391950089227891,0.20693899109457642,0.1125283419227891
44.0,0.20510433841291165,0.17979671990071538,0.23897532633176963,0.17464772409928464,0.11230865933176962
