NR,AR,AC15,AO15,AC15_rmse,AO15_rmse
41,0.253658537,0.452222222,0.1,0,0
41.0,0.24964073838000772,0.3053956553045237,0.21372105435594038,0.14682656669547628,0.11372105435594038
40.0,0.24847420058227834,0.3041931495824621,0.2160969749017407,0.14802907241753793,0.1160969749017407
37.0,0.2661020203220964,0.31575433055242047,0.23319106956836416,0.13646789144757954,0.13319106956836416
40.0,0.24847420058227834,0.3041931495824621,0.2160969749017407,0.14802907241753793,0.1160969749017407
41.0,0.24964073838000772,0.3053956553045237,0.21372105435594038,0.14682656669547628,0.11372105435594038
40.0,0.24847420058227834,0.3041931495824621,0.2160969749017407,0.14802907241753793,0.1160969749017407
37.0,0.2556087334125069,0.29098944536343696,0.23213202669905214,0.16123277663656305,0.13213202669905214
41.0,0.23900859842252983,0.2915593324104387,0.21400429149012654,0.16066288958956132,0.11400429149012653
41.0,0.24964073838000772,0.3053956553045237,0.21372105435594038,0.14682656669547628,0.11372105435594038
