NR,AR,AC15,AO15,AC15_rmse,AO15_rmse
45,0.244444444,0.411111111,0.148333333,0,0
34.0,0.3493293040242077,0.33944369469348923,0.3716145312753421,0.07166741630651075,0.2232811982753421
35.0,0.3378341546329065,0.32485351278169416,0.363182771487765,0.08625759821830581,0.214849438487765
35.0,0.3378341546329065,0.32485351278169416,0.363182771487765,0.08625759821830581,0.214849438487765
35.0,0.3378341546329065,0.32485351278169416,0.363182771487765,0.08625759821830581,0.214849438487765
34.0,0.3493293040242077,0.33944369469348923,0.3716145312753421,0.07166741630651075,0.2232811982753421
35.0,0.3378341546329065,0.32485351278169416,0.363182771487765,0.08625759821830581,0.214849438487765
40.0,0.2874558622961,0.27140810148418176,0.32095715936925995,0.1397030095158182,0.17262382636925994
35.0,0.3451392032715975,0.3209306543315328,0.38055795668069364,0.09018045666846719,0.23222462368069363
34.0,0.3493293040242077,0.33944369469348923,0.3716145312753421,0.07166741630651075,0.2232811982753421
