NR,AR,AC15,AO15,AC15_rmse,AO15_rmse
42,0.283333333,0.488333333,0.07,0,0
38.0,0.32084659448403263,0.3313028859037498,0.338803979064744,0.1570304470962502,0.268803979064744
38.0,0.3201216496174708,0.3277114627184479,0.3378074649770744,0.16062187028155206,0.2678074649770744
38.0,0.32154915971057596,0.3341812655319267,0.3382042695368802,0.1541520674680733,0.2682042695368802
38.0,0.31939507624537283,0.32941710913356637,0.336389778941686,0.15891622386643361,0.266389778941686
38.0,0.32084659448403263,0.3313028859037498,0.338803979064744,0.1570304470962502,0.268803979064744
38.0,0.31939507624537283,0.32941710913356637,0.336389778941686,0.15891622386643361,0.266389778941686
35.0,0.353193600313681,0.3667401580185566,0.3629899168371076,0.1215931749814434,0.29298991683710757
39.0,0.3097243236776014,0.3381394709185621,0.3153545188810202,0.15019386208143787,0.24535451888102017
38.0,0.32084659448403263,0.3313028859037498,0.338803979064744,0.1570304470962502,0.268803979064744
