NR,AR,AC15,AO15,AC15_rmse,AO15_rmse
34,0.219117647,0.316666667,0.143333333,0,0
37.0,0.19476389141735884,0.21599571885381344,0.18423353033915285,0.10067094814618657,0.040900197339152844
36.0,0.19603965223833356,0.21598418840352035,0.18691463706729003,0.10068247859647966,0.04358130406729002
36.0,0.20069668259393583,0.21734722616418237,0.1962269793854133,0.09931944083581765,0.0528936463854133
37.0,0.19419051205901613,0.2163830129885718,0.18348566246276132,0.10028365401142822,0.040152329462761316
35.0,0.18617704316623412,0.17243342098052647,0.2143152745729713,0.14423324601947354,0.0709819415729713
37.0,0.19419051205901613,0.2163830129885718,0.18348566246276132,0.10028365401142822,0.040152329462761316
29.0,0.24116288711873002,0.24190878250070694,0.2548329648649433,0.07475788449929308,0.11149963186494327
36.0,0.19304474157797308,0.2133456603638038,0.18670243835974792,0.1033210066361962,0.04336910535974792
37.0,0.19476389141735884,0.21599571885381344,0.18423353033915285,0.10067094814618657,0.040900197339152844
